temp1,smoke1,soil,flame1,temp2,smoke2,flame2,humidity,label
37.3,464,3706,1,37.7,757,1,27.8,HIGH_RISK
25.9,373,1519,1,26.0,340,1,75.2,SAFE
19.7,384,1961,1,19.9,389,1,59.2,SAFE
41.6,645,3918,1,38.8,455,1,24.9,HIGH_RISK
51.4,976,3851,1,48.9,1058,1,9.5,PROBABLE_FIRE
43.8,904,3162,0,45.7,1025,1,18.1,PROBABLE_FIRE
41.5,986,3541,1,51.4,1331,0,17.8,CONFIRMED_FIRE
49.2,472,3774,1,51.9,576,1,26.2,HIGH_RISK
44.8,744,3725,1,44.1,772,1,39.6,HIGH_RISK
22.2,658,2025,1,22.9,555,1,52.2,SAFE
38.1,823,3774,1,41.3,416,1,29.4,HIGH_RISK
56.0,1398,4204,0,63.4,1367,1,11.0,CONFIRMED_FIRE
28.0,609,2067,1,34.0,599,1,79.0,SAFE
29.0,300,2673,1,24.5,558,1,54.8,SAFE
43.9,786,3617,1,44.3,542,1,25.6,HIGH_RISK
59.1,1572,4041,0,66.5,1322,0,11.2,CONFIRMED_FIRE
43.5,949,2764,1,45.1,1301,1,20.6,PROBABLE_FIRE
39.6,692,4070,1,42.1,729,1,21.5,HIGH_RISK
33.3,399,1933,1,32.3,686,1,71.5,SAFE
49.8,1088,3050,1,52.5,1174,1,23.3,PROBABLE_FIRE
43.6,892,3357,1,41.1,934,1,33.6,PROBABLE_FIRE
25.8,408,1319,1,25.3,627,1,58.2,SAFE
35.2,454,4216,1,36.7,777,1,23.0,HIGH_RISK
48.4,409,3528,1,49.7,495,1,41.9,HIGH_RISK
21.3,351,2442,1,22.0,379,1,72.2,SAFE
33.4,443,1004,1,34.8,448,1,66.2,SAFE
47.0,990,4213,1,49.3,1249,1,19.6,PROBABLE_FIRE
19.4,364,1272,1,19.8,556,1,79.6,SAFE
27.9,435,2807,1,31.0,337,1,76.7,SAFE
48.5,984,4140,1,64.0,1171,0,13.4,CONFIRMED_FIRE
49.0,1124,3526,1,58.2,1110,0,13.8,CONFIRMED_FIRE
52.5,1386,3325,1,62.3,1287,0,13.2,CONFIRMED_FIRE
22.4,529,861,1,20.4,612,1,65.4,SAFE
48.8,1299,3419,1,51.7,967,1,29.9,PROBABLE_FIRE
49.2,974,3865,1,60.2,1169,0,19.5,CONFIRMED_FIRE
65.0,1196,3872,0,60.8,1093,1,7.6,CONFIRMED_FIRE
38.6,467,3750,1,40.0,483,1,44.5,HIGH_RISK
